;t/m jan 2008;t/m jan 2009;t/m jan 2010;t/m jan 2011;t/m jan 2012;t/m jan 2013;t/m jan 2014;t/m jan 2015;t/m jan 2016;t/m jan 2017;t/m jan 2018;t/m jan 2019;t/m jan 2020;t/m jan 2021;t/m jan 2022;t/m jan 2023;t/m jan 2024;t/m jan 2025;;;;;;;
Her inzage;268;373;213;343;288;356;405;537;305;411;452;511;399;710;1217;1148;1291;1268;;;;;;;
Na inzage;1329;1416;639;907;848;1240;1366;1550;1085;1225;1280;1330;939;1397;1761;1597;1589;1782;;;;;;;
Kadastrale legger;174;294;129;191;173;206;192;204;267;296;316;358;312;319;466;450;542;591;;;;;;;
Verklaring;237;584;260;287;209;315;399;324;350;525;643;415;253;372;359;296;291;403;;;;;;;
Getuigschrift;8;21;2;12;6;18;31;27;22;44;26;43;28;17;21;21;10;8;;;;;;;
;t/m aug 2008;t/m aug 2009;t/m aug 2010;t/m aug 2011;t/m aug 2012;t/m aug 2013;t/m aug 2014;t/m aug 2015;t/m aug 2016;t/m aug 2017;t/m aug 2018;t/m aug 2019;t/m aug 2020;t/m aug 2021;t/m aug 2022;t/m aug 2023;t/m aug 2024;t/m aug 2025;;;;;;;
Inzagen;2097;3429;2210;3404;3627;3731;3755;4975;6414;7523;8721;8723;5963;9975;11589;10375;13086;13816;;;;;;;
Her inzage;268;417;213;389;339;392;474;622;388;463;547;579;460;870;1467;1336;1471;1410;;;;;;;
Na inzage;1329;1585;639;1032;1046;1429;1585;1779;1306;1412;1506;1491;1080;1636;2085;1822;1893;1982;;;;;;;
Kadastrale legger;174;324;129;228;206;244;209;225;319;330;363;410;353;369;532;548;616;670;;;;;;;
Verklaring;237;633;260;322;243;358;436;374;412;622;746;480;331;440;416;342;327;446;;;;;;;
Getuigschrift;8;25;2;14;6;23;38;37;22;46;27;46;39;20;21;23;11;10;;;;;;;
;t/m sept 2008;t/m sept 2009;t/m sept 2010;t/m sept 2011;t/m sept 2012;t/m sept 2013;t/m sept 2014;t/m sept 2015;t/m sept 2016;t/m sept 2017;t/m sept 2018;t/m sept 2019;t/m sept 2020;t/m sept 2021;t/m sept 2022;t/m sept 2023;t/m sept 2024;t/m sept 2025;;;;;;;
Inzagen;2097;3956;2210;3796;4075;4227;4165;5848;7344;8467;9700;9746;6918;11719;12930;11613;14842;15631;;;;;;;
Her inzage;268;480;213;437;393;433;526;647;438;528;623;660;515;1020;1609;1522;1676;1759;;;;;;;
Na inzage;1329;1750;639;1145;1220;1595;1790;1892;1485;1586;1692;1671;1220;1875;2335;2036;2160;2357;;;;;;;
Kadastrale legger;174;349;129;271;232;283;244;255;378;365;402;462;392;423;590;615;681;763;;;;;;;
Verklaring;237;680;260;368;277;413;473;427;471;704;804;549;404;509;453;385;377;483;;;;;;;
Getuigschrift;8;26;2;18;8;31;47;44;26;52;30;100;48;28;21;27;18;10;;;;;;;
;t/m okt 2008;t/m okt 2009;t/m okt 2010;t/m okt 2011;t/m okt 2012;t/m okt 2013;t/m okt 2014;t/m okt 2015;t/m okt 2016;t/m okt 2017;t/m okt 2018;t/m okt 2019;t/m okt 2020;t/m okt 2021;t/m okt 2022;t/m okt 2023;t/m okt 2024;t/m okt 2025;;;;;;;
Inzagen;2097;4400;2210;4210;4629;4699;4586;6496;8024;9463;10659;10915;7870;13376;14112;12965;16536;17301;;;;;;;
Her inzage;268;536;213;477;442;491;596;712;512;606;695;734;587;1200;1769;1699;1906;2024;;;;;;;
Na inzage;1329;1872;639;1286;1376;1772;2041;2023;1665;1802;1899;1877;1388;2110;2574;2309;2465;2699;;;;;;;
Kadastrale legger;174;394;129;296;256;309;260;287;401;402;441;504;439;491;675;673;759;852;;;;;;;
Verklaring;237;724;260;390;313;482;526;471;554;755;885;633;460;584;507;428;414;512;;;;;;;
Getuigschrift;8;26;2;29;8;31;47;44;29;63;56;104;49;32;21;30;23;12;;;;;;;
